Geolocation,Level of Education,Sex,Year,Completion_Rate,Cohort_Survival_Rate,Gender_Parity_Index,Participation_Rate
Region X,Senior High,Female,2005,0.0,0.0,0.0,0.0
Region X,Senior High,Male,2005,0.0,0.0,0.0,0.0
Region XI,Elementary,Female,2005,63.2,64.2,1.0,0.0
Region XI,Elementary,Male,2005,50.8,52.2,1.0,0.0
Region XI,Junior High,Female,2005,59.1,64.6,1.1,0.0
Region XI,Junior High,Male,2005,43.5,51.1,1.1,0.0
Region XI,Senior High,Female,2005,0.0,0.0,0.0,0.0
Region XI,Senior High,Male,2005,0.0,0.0,0.0,0.0
Region XII,Elementary,Female,2005,64.9,67.0,1.0,0.0
Region XII,Elementary,Male,2005,51.8,55.0,1.0,0.0
Region XII,Junior High,Female,2005,54.6,59.5,1.1,0.0
Region XII,Junior High,Male,2005,43.0,49.6,1.1,0.0
Region XII,Senior High,Female,2005,0.0,0.0,0.0,0.0
Region XII,Senior High,Male,2005,0.0,0.0,0.0,0.0
Region XIII,Elementary,Female,2005,74.6,75.6,0.9,0.0
Region XIII,Elementary,Male,2005,60.6,62.1,0.9,0.0
Region XIII,Junior High,Female,2005,63.2,67.4,1.1,0.0
Region XIII,Junior High,Male,2005,52.5,57.8,1.1,0.0
Region XIII,Senior High,Female,2005,0.0,0.0,0.0,0.0
Region XIII,Senior High,Male,2005,0.0,0.0,0.0,0.0
BARMM,Elementary,Female,2005,34.6,36.1,1.1,0.0
BARMM,Elementary,Male,2005,34.9,36.2,1.1,0.0
BARMM,Junior High,Female,2005,54.8,63.3,1.2,0.0
BARMM,Junior High,Male,2005,50.9,60.5,1.2,0.0
BARMM,Senior High,Female,2005,0.0,0.0,0.0,0.0
BARMM,Senior High,Male,2005,0.0,0.0,0.0,0.0
NCR,Elementary,Female,2006,91.3,92.4,0.9,0.0
NCR,Elementary,Male,2006,85.8,87.1,0.9,0.0
NCR,Junior High,Female,2006,74.0,79.6,1.0,0.0
NCR,Junior High,Male,2006,66.6,74.0,1.0,0.0
NCR,Senior High,Female,2006,0.0,0.0,0.0,0.0
NCR,Senior High,Male,2006,0.0,0.0,0.0,0.0
CAR,Elementary,Female,2006,81.0,82.1,0.9,0.0
CAR,Elementary,Male,2006,69.7,71.4,0.9,0.0
CAR,Junior High,Female,2006,89.7,89.7,1.1,0.0
CAR,Junior High,Male,2006,77.4,77.4,1.1,0.0
CAR,Senior High,Female,2006,0.0,0.0,0.0,0.0
CAR,Senior High,Male,2006,0.0,0.0,0.0,0.0
Region I,Elementary,Female,2006,84.9,86.0,0.9,0.0
Region I,Elementary,Male,2006,78.8,80.0,0.9,0.0
Region I,Junior High,Female,2006,88.4,88.5,1.0,0.0
Region I,Junior High,Male,2006,80.0,80.0,1.0,0.0
Region I,Senior High,Female,2006,0.0,0.0,0.0,0.0
Region I,Senior High,Male,2006,0.0,0.0,0.0,0.0
Region II,Elementary,Female,2006,84.8,85.7,0.9,0.0
Region II,Elementary,Male,2006,73.1,74.2,0.9,0.0
Region II,Junior High,Female,2006,81.3,84.3,1.1,0.0
